"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","NOTES"
"30",5,"D. Allar",PIT,"QB4","22","Drew Allar sustained a fractured ankle in 2025, which ended his season. Even before this injury, he didn’t project to be a rushing threat in the NFL. In 2023-2024, Allar averaged 254 rushing yards with 3.0 yards per carry. He has the size to be a goal-line option, but I don’t see him being an option with the designed quarterback run game. Allar is a developmental quarterback prospect with the raw tools as a passer that could entice an NFL team to take the leap. He needs a lot of refinement on a down-to-down basis to develop into a legit starting NFL quarterback option. Allar has an NFL arm in terms of raw strength and velocity, but the accuracy is a problem. His ball placement can be erratic at all three levels. Most of his passes are on a line and lack touch and layering. Wide receivers are left waiting on his deep ball at times. His footwork can lapse at times, which impacts his accuracy and his timing on deeper dropbacks. He’ll drift in the pocket on some plays. His trigger can be variable. Allar will get the ball out on time with some passing plays, but he’ll also hold the ball and get behind the play as well with some reps. He doesn’t trust his eyes at times and will pat the ball like he’s burping a newborn baby. When his first read isn’t there at times, he’ll immediately drop his eyes and look to take off and run. Allar can access his second and third reads at times, but it’s not consistent. His pacing through progressions is erratic, as he’ll also fly through his first read at times early in a play. Allar doesn’t deal with pressure well. He’ll bail pockets at the first sniff of pressure with some plays or hang in with antsy feet and a frantic approach to make a play. Dynasty Outlook: Well, we have arrived at one of the most head-scratching picks of the draft. I wasn’t in on Allar as a prospect pre-draft, and I won’t be drafting him after landing with the Steelers in the third round of the NFL Draft. I didn’t like his tape, and the analytics back up my disdain. Over the last two years, Allar has ranked outside the top 50 FBS passers in adjusted completion rate, outside the top 120 passers in deep ball rate, and outside the top 80 in aDOT. His pocket presence is erratic, as is his processing. I will be avoiding him in rookie drafts."
"31",5,"J. Lane",BAL,"WR17","22","Lane is an athletic, tall drink of water. He can get downfield with deep buildup speed and strong ball tracking skills. Lane flashes body control in the air and the ability to adjust on the fly to back shoulder targets. Lane has a strong understanding of route running with plenty of bells and whistles to get open. He will add jab steps and small intricacies without losing much speed in the route. Lane displays a firm understanding of leverage and when to time his route breaks with the corner’s hips. Lane can’t stop on a dime, but he has adequate deceleration skills for his size when running comebacks and stop routes. He’ll need to continue to improve his ability to sink his hips if he wants to be tasked with a full route tree in the NFL and not just pigeon-holed as a deep threat. Lane isn’t offering much after the catch unless he slips a tackle or sees a busted coverage. He did manage 18 missed tackles over the last two collegiate seasons. His upper body strength allows him to win 50/50 balls. His hands need to improve to turn those into 60/40 balls (8.6% drop rate over the last two seasons). Dynasty Outlook: Lane is headed to Baltimore via the third round of the NFL Draft. Lane’s film and production profile are ok, but they aren’t outstanding. He was 52nd in yards per route run last season, and he has a 61st percentile breakout age. Baltimore has long coveted these field-stretching receiving types and hoped to mold them into more. It hasn’t worked out well for Baltimore. Lane is worth taking a shot on late in the second round/early third round of dynasty rookie drafts. Lane will have to beat out Rashod Bateman or Elijah Sarratt to crack the starting lineup in 2026 to crack the starting lineup. Bateman is signed through 2029 with the team."
"32",5,"M. Klare",LAR,"TE3","22","Klare can operate as a dump-and-run option for a passing attack. He isn’t a missed tackles forced maven, but he can power through weak wraps and create off-angle attempts. Klare can throttle down and sink his hips with comebacks and curls. I don’t know if he has the upside to become the number two option in an NFL passing attack, but he could easily function as a solid number three or stellar fourth. Klare has fluid movement skills with good change of direction and the raw speed to threaten down the seam when he’s asked to do so. He flashes solid body control with targets outside of his frame and can win the catch point battle with a 57.9% contested catch rate in college. Klare’s best work is against zone coverage. He was utilized heavily as an underneath receiving option with 57.8% of his routes being hitches, flats, or crossers. 69.1% of his targets game within nine yards of the line of scrimmage or behind it. He struggles with physicality in his routes. Physical defenders who can run with him can present a problem. He lacks the extra juice or route nuance to shake free from physical coverage. Klare is a competent blocker. He was utilized as a puller by Ohio State, which wasn’t amazing in many spots, but he has the functional play strength to do so. He doesn’t play with consistent pad level with blocking, though. Defenders can get the best of him at times and upend him. Dynasty Outlook: Klare was drafted by the Rams in the second round of the NFL Draft. He’s the clear TE4 for them this year behind Tyler Higbee, Colby Parkinson, and Terrence Ferguson. The path to relevance gets easier next year with Higbee and Parkinson hitting free agency, but he will still have to contend with Ferguson for the starting job. Ferguson had the better production profile in college and is more athletic. If I’m betting on one of the two of them, it’s Ferguson. That doesn’t mean that Klare isn’t worth drafting in the late second/early third round of rookie drafts. I easily could be wrong, and Klare beats out Ferguson for the job in 2027."
"33",5,"D. Claiborne",MIN,"RB9","22","The backbone of Claiborne’s game is his raw speed (4.37 40 time). He’s a linear runner that can stomp the gas and manage explosive runs with this speed. Claiborne isn’t a twitchy player, though. Especially for a smaller back, he struggles with change of direction and has to utilize choppy steps to do so. Claiborne’s vision isn’t great. He lacks the patience at times to allow running lanes and blocks to develop in front of him. He routinely misses cutback lanes. He should be tasked with gap runs in the NFL that give him a well-defined running lane and allow him to get upfield quickly. He was just utilized as a checkdown option in college. He was mainly tasked with dump-offs and flat routes. He doesn’t have a trusty set of hands. In his final collegiate season, he had five fumbles and six drops. Claiborne struggles as a blocker. In pass pro, Claiborne’s size and lack of play strength show up. He’s unable to anchor or move incoming rushers out of the pocket. If he’s on the field in the NFL in passing down situations, he’ll be best deployed by running routes. Last year, with 42 pass blocking snaps, he allowed four hurries and four pressures. Dynasty Outlook: The slender speedster was selected in the sixth round of the NFL Draft by the Vikings. He enters a depth chart led by Jordan Mason and Aaron Jones. Jones hasn’t been the picture of health over the last few years in the NFL, so it’s possible at some point that Claiborne could be operating as Mason’s complement at some point in the 2026 NFL season. I’m not high on Claiborne as a player. The speed is real, but he’s not an illustrious tackle breaker, and the size will limit his volume even if he is active and garnering touches at some point this season. He’s a fourth-round/final-round selection in rookie drafts that can be easily stashed on a taxi squad."
"34",5,"E. Raridon",NE,"TE4","22","Raridon’s medicals will lead many conversations. He has torn his right ACL twice (2021, 2022). The knee was sound this season as he was immensely productive and tested well. He has a 4.62 40-yard dash time with an 81st percentile vertical jump and an 88th percentile broad jump. Raridon has immediate juice with the ball in his hands. He isn’t a monstrous tackle breaker, but he can slip the loose wrap or run through a player attacking at an off-angle. He does have the ability to create with his lateral agility in space to earn a few more yards. His footwork and suddenness in his route breaks need to continue to improve. He can operate well right now against zone coverage, but he needs to improve his route nuance and in-route footwork if he wants to hit his ceiling in the NFL. Raridon can get deep with seam shots (13% go in 2025) and the occasional post (5.2% of his routes in 2025). He displays good ball tracking. Raridon has fluid body control and play strength at the catch point. With only nine contested targets in college, he secured 66.7% of them. He works through physical coverage well with good late separation. His play strength shows up in his blocking. He holds up well in pass pro, sustaining his blocks well. He will occasionally drive a defender into the dirt. He’s tenacious. Raridon looks comfortable climbing into the second level when uncovered. Dynasty Outlook: Eli Raridon arrives in New England after getting drafted in the third round. He has a shot to be the immediate TE2 on the roster behind only Hunter Henry, with only Julian Hill and CJ Dippre as his main competition. Hunter Henry is a free agent after the 2026 season, so the runway is clear for Raridon to get substantial playing time in 2026 and walk into 2027 as the team’s unquestioned starter. I’ll be drafting him heavily in the second round of rookie dynasty drafts."
"35",5,"O. Delp",NO,"TE5","22","Delp is an athletic freak with a 4.49 40-yard dash, a 96th percentile vertical jump, and a 96th percentile broad jump. He’s a fluid athlete whose speed immediately jumps off the film. Delp has the raw speed to house call any screen pass. Delp’s 2025 season was impressive, especially considering that he played the entire year with a hairline fracture in his foot. He didn’t go through combine drills as the fracture was discovered during a routine X-ray leading up to the combine. Delp is a ball of clay that could develop into a top-shelf tight end in the NFL. He’s at his best when operating against zone coverage and as a dump-and-run tight end right now. Delp has to continue to develop his release package and route-running chops if he’s going to hit his ceiling as a player, but he has the raw talent to do so. He was heavily utilized on seam shots, flats, and crossers, which made up 70.3% of his route tree in 2025. Delp can chew up yards after the catch. He ranked tenth and 23rd in yards after the catch per reception over the last two seasons. He’s not a tackle-breaking behemoth, but that’s not to say he could develop into a better one with his athletic traits. Delp forced only nine missed tackles in college (94 targets). Delp relies upon his immediate and lightning-quick speed to produce YAC at this juncture. Delp could easily put on another 10 lbs to his frame and likely not compromise his speed and fluidity. He displays good body control in the air with fluid hips to adjust to targets behind him and easily convert into a runner without losing a beat. Delp also has to clean up his blocking technique. He has a solid first punch but doesn’t sustain his blocks. He has the lateral agility and lower body strength to recover during the play when initially beaten. He has the physical talent to become at least a league-average blocker. I will say, though, he is more consistent as a run blocker. He can displace defenders when needed, but during many reps, he’s simply locking down his patch of grass. Dynasty Outlook: Whoa, baby! We are off to the races. The Saints drafted Oscar Delp in the third round of the NFL Draft. Delp could have a quiet rookie year behind Juwan Johnson and Noah Fant, but I expect him to walk into 2027 with a shot to be the team’s starting tight end. Fant is on a two-year deal that is basically a puffed-up one-year deal. Johnson is entering his age-30 season and is a free agent after the 2027 season. The runway could clear quickly for Delp. I want to bet on his upside in the second round of rookie drafts."
"36",5,"A. Randall",BAL,"RB10","21","Randall is a former collegiate wide receiver who converted to running back for his final college season. His wide receiver background shows up immediately with his nimble feet for his size and route-running ability. Clemson didn’t really utilize his receiving skills as he was mostly just a checkdown option in the passing game, but he did flash with the occasional slot slant or wheel route. His hands are also questionable, which is concerning, considering his background. He had six drops in his final college season (49 targets). He has average burst as a linear and upright runner. His upright running style can lead to him crumbling like a house of cards at times, especially when he is contacted low. He can break tackles and run through the opposition when he has a head of steam built up in the second level on occasion. Randall isn’t a dynamic player in space. Randall doesn’t convert his size and strength to power in the run game. He runs like a 5’9” back at times. His tweener skill set makes him a hard player to project at the next level. I could easily see him functioning as an H back in the NFL, but his play strength will need to improve to fill that role. He’s not a pile moving back despite his large frame. He’s more comfortable in space on toss plays or outside zone plays, where he does have a decent feel of flowing laterally before bursting upfield. Randall can be tentative at the line at times, but he was more decisive as a runner later in the 2025 season. Dynasty Outlook: The former collegiate wide receiver was selected in the fifth round of the NFL Draft by the Baltimore Ravens. Randall got some buzz in the predraft process for his former wide receiver designation, but I’m fading that. He runs like a former wide receiver, which isn’t a good thing. The athleticism doesn’t translate to production on the field at this point, and I don’t foresee that changing in the NFL. He’ll have to compete with Justice Hill and Rasheen Ali for the RB2 job for Baltimore behind Derrick Henry. Hill is a free agent after this season, so it’s possible that Randall will be the RB2 entering 2027 if Baltimore doesn’t add more bodies to the backfield next year. I’ll let others chase the Randall hype and avoid him in most drafts."
"37",5,"C. Klubnik",NYJ,"QB5","22","Klubnik can make plays with his legs. The speed and rushing ability show up immediately. Klubnik has a good feel for setting up defenders in the open field and following his blocks. If he can secure a starting job in the NFL, I wouldn’t be shocked if he churns out 400-500 rushing yards yearly. He has an easy delivery with compact mechanics, a quick release, the ability to throw from multiple arm angles, and the arm strength to make every NFL throw. When Klubnik is dialed in, he can put some pretty throws on film. He can layer the ball nicely to the second-level. His deep ball is quite good, but at times, he needs to put some more air under it to allow his receivers to adjust and run under these deep targets. Klubnik has plenty of reps as an anticipatory passer, especially with sideline comeback routes. Klubnik will attempt some ill-advised throws at times with multiple defenders in the vicinity of his target, but he has the arm talent to pull them off. Yes, the results could be disastrous, but he has the arm talent to pull it out with nice touch, layering, and sick ball placement. This could easily burn him in the NFL until he has a good grasp on the aggressiveness knob. From 2024 to 2025, Clemson put more on his plate. In 2024, Klubnik operated with a heavy diet of first read, checkdown, or utilize your legs play designs. In 2025, he was tasked with half and full field reads, and the results were uneven. At times, Klubnik would operate with good pace and move from his first to second read and so forth, but there were also plenty of plays where he would lock on his first read for too long or move off it too quickly. His trigger is inconsistent. His field vision can be erratic at times, where he’s simply not seeing options running wide open. There are plenty of plays in 2025 where he operates at a high level to think that he can eventually even this all out, but it’s a projection, and there’s uncertainty with this part of his game, especially when transitioning to the NFL, where things will be faster and more complex on a number of levels. Klubnik has solid pocket presence. He’ll stand tall versus the rush and deliver accurate passes. Klubnik can be cool and collected, delivering accurate passes from collapsing pockets. There are also a number of times where he’ll hold the ball for too long as he’s big play hunting or locked onto one option, but he also has some nice off-script moments. His accuracy doesn’t suffer much from throwing on the move. If Klubnik can put it all together, he has the raw talent to develop into a league-average or above-average starter. Dynasty Outlook: Cade Klubnik is headed to the Jets via the fourth round of the NFL Draft. From Day 1, he should compete with Brady Cook for the backup spot on the depth chart behind Geno Smith. Klubnik flashed upside in the 2024 season only to falter in 2025 as Clemson put more of the offense on his back. If Klubnik slips in your rookie draft, I don’t mind taking a shot on him for a taxi squad spot or final round pick. He’s a decent draft and trade candidate in Superflex formats if he gets any starts in 2026 (I doubt he will if Geno Smith is healthy all year). Outside of that, I don’t have much interest in Klubnik. The Jets are a team that should be in the market for a quarterback in next year’s draft, and they could have an entirely new coaching staff next year. A quarterback with Day 3 capital that could get easily replaced in 2027 doesn’t really get me excited."
"38",5,"B. Lance",NO,"WR18","23","Lance is a fluid athlete with smooth hips and lightning-fast speed. He can quickly get up to top gear while also having the skill to stop on a dime and sink his hips on comebacks and curls. He’s deadly on out and ups and double moves. Overall, Lance is a strong route runner who plays through contact. He can gain early separation with a solid release package and the in-route bells and whistles. Lance can telegraph his route breaks at times with exaggerated movements at the top of his stem. He’ll need to continue to clean that up, but it’s not a consistent issue. Lance is an electric field stretcher with solid ball tracking and the body control to adjust to back shoulder targets and sideline catches. Lance is a catch point winner with a 61.5% contested target catch rate. He flashes a soft set of hands with only a 3.8% drop rate, which is even more impressive when you consider the degree of difficulty of his targets. Lance has a 14.1 aDOT in college with 15.5 aDOT in his final season. In 2025, 30.4% of his target volume was 20 yards or more downfield. Dynasty Outlook: The Saints selected Lance in the fourth round of the NFL Draft. Adding Lance to a wide receiver room that already includes Chris Olave and Jordyn Tyson should equal fireworks in 2026. Lance could struggle to see consistent volume as the team’s field stretcher behind Olave, Tyson, and likely Juwan Johnson, though. Johnson could be gone as soon as 2027 or 2028, though, and Olave is a free agent after this season, so Lance could find himself as the team’s WR2 in 2027 if they don’t retain Olave. Lance is oozing with upside with a team on the rise. He could be a swing from the heels home run pick in the second round of your rookie drafts."
"39",5,"J. Joly",DEN,"TE6","21","Joly has a thick and muscular build. He plays with impressive physicality in all facets of the game, from his inline blocking to his RAC ability. Joly isn’t a burner likely running in the 4.7/4.8 40 range. He entered college as a wide receiver prospect and converted to tight end. Joly is a dump-and-run tight end best operating underneath against zone coverage. He has the route nuance to stretch the seam, but it is more selectively. Joly’s lateral agility helps him separate on slants and outs, but his middling raw speed allows speedy defenders to regain their footing during the rest of the route. He can create with the ball in his hands due to his tackle-breaking ability, with 46 missed tackles forced in his four-year collegiate career. His lack of top-shelf raw speed and burst limits how much YAC he is able to generate. Joly is a strong blocking option in the running and passing games. He plays pissed off and has the upper and lower body strength to move players off the mark or hold them right where he wants them. He has plus pass pro grades of 71.4 and 74.4 over the last two seasons. Joly’s play strength bleeds over to his prowess at the catch point. He has a solid set of hands with a 2% drop rate in his final collegiate season and a 66% contested catch rate overall. Dynasty Outlook: Justin Joly was drafted by the Broncos in the fifth round of the NFL Draft. He could compete with Adam Trautman in 2026 for the TE2 role on the Broncos. Evan Engram is a free agent after the 2026 season, so Joly could take his role in the offense in 2027. We have seen that the role isn’t very valuable, though. Joly is a late fourth-round rookie draft pick or taxi squad option."
"40",5,"S. McGowan",IND,"RB11","24","Downhill physical runner. McGowan runs like he’s mad at the ground. McGowan has no issues running through someone. He’s a linear, one-cut runner. Solid feel for how to press the line and access cut-back lanes. McGowan does offer some second-level creativity with his lateral agility and the ability to create more yards in space. McGowan isn’t a burner, but he does have enough raw speed to gain the edge with stretch zone plays consistently. He’s not a home run hitter with only 24 runs of at least 15 yards in his collegiate career (378 carries). I usually don’t discuss off-field issues unless they are extremely noteworthy here, which is the case for McGowan. He was dismissed from Oklahoma after being found guilty of larceny (one year probation). McGowan is a feisty pass protector. His technique needs work to become a solid option in this department in the NFL, but the effort is there. There are numerous reps where he holds his ground and regains his footing against an incoming defender with a strong second effort. He’ll drop his eyes and lunge at defenders at times. McGowan is a decent check-down option in the passing game with 1.56 collegiate yards per route run. Despite his five drops in his final season, he offers a dependable set of soft hands out of the backfield. Dynasty Outlook: Seth McGowan is truly trying to pull off his best Isiah Pacheco impression as a seventh-round selection in the NFL Draft (Colts). Yes, Jonathan Taylor is the bellcow for Indy, and I don’t see that changing, but the RB2 spot is up for grabs in Indy. I loved DJ Giddens as a prospect, but he was a ghost last year and not a shoo-in to be Taylor’s handcuff. McGowan is a free lottery ticket handcuff pick in dynasty rookie drafts. McGowan is an easy late-round rookie pick selection that you can stash on a taxi squad, and if he doesn’t get substantial work in year one, you can cut him loose. He’s 25 years old, so if he doesn’t fire out the gate in the NFL, it’s probably a situation where you’re cutting bait after year one."
"41",6,"E. Heidenreich",PIT,"RB12","22","Heidenreich was a Swiss army knife weapon for Navy. He finishes his collegiate career with 1,157 rushing yards (no more than 77 carries or 499 rushing yards in any season). In 2025, he also had 79 targets, 18.5 yards per reception, and 941 receiving yards. In 2025, Heidenreich spent 44.3% of his snaps in the backfield, 14.7% of them in the slot, and 32.9% as a perimeter wide receiver. His eventual home in the NFL is likely as a slot receiver. When utilized as a backfield/rushing option, it was as a motion player or getting him to the perimeter with toss plays. He didn’t operate with a heavy dose of traditional running back usage in the rushing department. As a receiver, he has legit route-running chops, and he can win from the perimeter. He has a serviceable release package, but he’ll need to continue to add to that tool belt and refine his footwork to work on the boundary. As a slot option, Heidenreich can already win against zone. He has a decent understanding of pacing against zone coverage and leverage. Dynasty Outlook: The Navy standout and Pittsburgh native was selected by his hometown team in the seventh round of the NFL Draft. Heidenreich has the raw athletic upside and versatility to squint and see a potential starting NFL slot receiver a few years down the road if everything works out in his favor. The chances of it coming to fruition are slim, so don’t overspend in any rookie draft. He’s a third or fourth round dart throw/taxi squad option only."
"42",6,"G. Nussmeier",KC,"QB6","24","2024: Nussmeier has easy velocity and arm strength. He can make every NFL throw. Nussmeier can layer second-level throws and has plenty of tight-window dots littering his film. His deep ball accuracy can be variable, but when he was locked in, his highlight throws were impressive. His accuracy on the move can be spotty, but when he has a clean pocket, he can also be surgical. He can throw from multiple arm angles depending upon the play and route depth. Nussmeier moves through progressions quickly. It’s nothing to see him get to his second and third reads. He throws with anticipation and will routinely get the ball out before a wide receiver is out of their break. His pocket awareness overall was solid, but there are times when he was late to feel the rush and adjust to the pressure by climbing the pocket or escaping."
"43",6,"C. Douglas",MIA,"WR19","22","He projects as a solid WR3/4 for an NFL franchise. Douglas is a well-rounded wide receiver. His ceiling might not be incredibly high, but the floor is quite high and projectable. Douglas has solid burst off the line. He has good bend and fluidity to his movements. When tasked with a double move, he gets back up to top speed quickly. He can get deep with route nuance and enough raw speed to stretch the field, while he likely won’t be asked to fill a field-stretcher-only role in the NFL. Douglas has good hip sink and the ability to deaccelerate well, especially for a player of his size. He offers some RAC upside with his upper body strength. He did have only 5.4 and 5.9 yards after the catch per reception across his final two collegiate seasons, but he did also force 17 missed tackles in that timeframe. Douglas has a varied release package that he deploys with a solid split release and wide step release. He can improve upon his footwork overall, though. His footwork at the line can get “Tik Toky” sometimes, but it’s not a consistent problem. He has a good understanding of varying route tempo and depth depending upon the zone coverage that is presented. Dynasty Outlook: Caleb Douglas was drafted by the Miami Dolphins in the third round of the NFL Draft. They must see something that I don’t. Over the last two years, he has ranked 158th and 116th in yards per route run. He finishes college with a 44th percentile college dominator and 37th percentile collegiate breakout age. I won’t be falling for the draft capital fallacy with Douglas. I’ll leave him on the board for others to draft. If I’m wrong on Douglas, so be it."
"44",6,"T. Green",CLE,"QB7","23","Dual threat passer. Green averaged 113 rushing attempts and 600.8 rushing yards over the last four years of college (8.8 rushing touchdowns per season). Green has build-up speed and the size to be a goalline threat in the NFL. He’s a straight-line runner without a ton of wiggle. He’s best viewed as an opportunistic scrambler at the next level with some upside in the designed run game. Green has the arm strength to make every NFL throw necessary. He has easy flick of the wrist velocity. His windup can get long at times, leaving the ball coming out a touch late, though. His accuracy on intermediate throws is decent, with thoughtful ball placement at times, where he’s helping his receivers avoid hospital collisions. Green’s overall accuracy is spotty, though. His deep ball can lack touch, especially on boundary go balls or corner of the end zone shots. His footwork can lapse at times, which doesn’t help his accuracy issues. His second level passes lack touch at times as he resorts to line drive fastballs when he needs to layer the ball. His pocket presence needs refinement. Green is late to feel the rush many times and doesn’t have the quick-twitch abilities to bail him out of danger situations. He wasn’t tasked with full field reads at Arkansas, but he’ll hang on his first read or miss receivers running wide open at times. Green feels a tick late at times getting the ball out. His trigger has to speed up to the pace of the NFL game. Dynasty Outlook: Green is a final-round rookie draft pick dart/taxi squad option. His athleticism is insane, but he has definite shortcomings as a passer. He’ll begin his NFL career with the Browns after being selected in the sixth round of the NFL Draft. He’ll likely serve as the team’s QB4 for the year, with the chance to climb the depth chart if he can prove that he can turn his possible upside into more on-field production in camp and the preseason. The Browns are more likely to give Deshaun Watson or Shedeur Sanders a real chance to be their starter for 2026 (and possibly 2027) than give Green a shot at the job. Green’s rushing ability is what buys him a taxi squad spot in Superflex formats."
"45",6,"K. Coleman Jr.",MIA,"WR20","22","Coleman Jr. is a zone-destroying specialist from the slot who also adds an element of verticality to a passing attack. His speed and burst are immediate and palpable when turning on the film. Coleman offers toughness and YAC ability with not only his speed but also his underrated tackle-breaking ability. Over the last two seasons, he ranked 17th and fifth among wide receivers in missed tackles forced. Coleman has good vision in traffic and looks like a running back with the ball in his hands, bouncing off defenders. Coleman can destroy corners underneath with slants and outs while also stretching the field with slot fades, etc. He has good snap at the top of his stems and can change direction without losing much speed. He displays solid ball tracking downfield. With his smaller frame, Coleman has a smaller catch radius. His hands aren’t a concern, though, with only a 3.4% drop rate in college. He does display strength at the catch point when presented with muddy situations, with a 53.7% collegiate contested catch rate. Dynasty Outlook: Kevin Coleman Jr. is headed to the Dolphins via the fifth round of the NFL Draft. He will have to earn his way up the depth chart, but I think he can easily do so. Drafting him this high (late second round/early third round) is a bet on talent. I’m willing to make that bet all day long. This draft class is a crap shoot, and it’s hard in many spots of rookie drafts to have conviction with picks, but I have conviction with Coleman Jr.’s talent. Over the last two collegiate seasons, he has posted 2.23 and 2.32 yards per route run while ranking 17th and fifth in missed tackles forced. The Miami depth chart is wide open, and Coleman Jr. could make waves in 2026."
"46",6,"B. Thompson",LAC,"WR21","22","Elite speed. Thompson can hit the gas and run by corners. He has electric acceleration and regains top speed effortlessly as a double move demon. Thompson has crisp footwork and route running, but if physical corners can run with him and get their hands on him, it’s not tough to press him into oblivion. Thompson has a quick gear down on comebacks with the added advantage of an extra cushion. Corners will play off him more as they protect against his speed and getting burned downfield. Thompson can track deep balls with the best of them. I don’t foresee him being a high-volume receiver in the NFL because of his size, but he can easily be a situational deep threat with some manufactured touch usage. Last year, 29.9% of his target volume came via deep targets, and 45.3% of his receiving yardage was from deep passing (five of his six touchdowns). Thompson can break a defense with his speed and vision in the open field, but he won’t offer much YAC if a defender can get their hands on him. He is brought down easily once contacted. With his size, he absorbs some massive hits. Dynasty Outlook: Thompson was selected by the Bolts in the beginning of the fourth round of the NFL Draft. He profiles as a low-volume field stretcher in the NFL. His speed is amazing, but his size will limit his volume and his red zone usage. In previous seasons, I have gravitated to this archetype with Xavier Worthy and KJ Hamler, but this year I’ll use those lessons learned and avoid Thompson. If you’re taking the plunge on the speedster, I wouldn’t do it until the early fourth round of dynasty rookie drafts."
"47",6,"S. Roush",CHI,"TE7","22","Roush is a fluid mover. He has solid footwork off the line and at the top of stem to earn separation, but he lacks top-end speed to threaten the seam or explode with the ball in his hands. Roush has functional strength limitations that show up in his blocking. He is a tenacious, high-effort blocker, but he can get blown back by powerful defenders. He’s best utilized when asking him to combo block with a lineman or chipping before he gets into his route. Roush isn’t a dynamic YAC threat with only 5.3 yards after the catch per reception in his collegiate career, and only three missed tackles in his final season. Dynasty Outlook: The Bears surprisingly pulled the trigger and drafted Roush in the third round of the NFL Draft. Colston Loveland isn’t going anywhere. Cole Kmet isn’t a free agent until 2028, but Chicago could cut him after the 2026 season and save a little over 4 million against the cap. Roush is a decent fourth-round rookie dart, but this feels like the dollar store version of Isiah Likely’s situation previously with Baltimore. Roush could just be a decent TE2 for Chicago when they feature 12 personnel and nothing more."
"48",6,"C. Payton",PHI,"QB8","23","Payton’s dual-threat ability jumps off the film immediately. Payton has 4.6 speed and the ability to make defenders miss. Payton is built like an athletic tight end, and he’s a load to bring down in the open field. He’s not the twitchiest rusher, but he can plant his foot and avoid tacklers when needed. His size/speed combo is EXTREMELY interesting. In his final collegiate season, he had 120 rushing attempts, 894 rushing yards, and 13 rushing scores. The North Dakota State passing offense was built around Payton’s mobility with plenty of RPO action and bootlegs. Payton will have a sizable learning curve with an NFL offense, but there are also moments in his collegiate offense that offer hope that the transition won’t be as hard as it seems. He wasn’t asked to regularly make full field reads, but there are moments where he did and quickly moved to his third and fourth option in a progression. Payton is a “see it, throw it” quarterback, but he also has some anticipatory passing moments. The passing offense was also shotgun-based, so under-center work will be a hurdle, but that’s also the case for many college quarterbacks these days. Payton has a cannon for an arm. He has easy flip of the wrist velocity and the strength to drive the ball downfield. He exhibits touch when layering second-level throws and precision when ripping deep outs. He can place the ball accurately to all three levels. Payton has an NFL arm in terms of strength and touch. Payton will have an adjustment with the speed of the NFL game and the throwing lanes. There are plenty of examples of him hanging on his first read and waiting for them to uncover and break wide open. He’ll have to pull the trigger earlier in the NFL or find comfort with more tight windows. Payton has a gunslinger mentality, which can work in his favor, but with the sizable jump in competition, the early days in the NFL for him could be rocky as he adjusts. There are some plays where he flees a clean pocket to make a play with his legs. His margin for error and the ability to pull a rabbit out of his hat in the NFL will be decreased. He’ll have to recalibrate some. Dynasty Outlook: Cole Payton unfortunately fell to the fifth round of the NFL Draft, but he landed in a really nice spot to sit and develop. I won’t dismiss that he could be the eventual successor to Jalen Hurts in Philly. Yes, Payton will be the QB4 on the depth chart to begin the year, but Andy Dalton and Tanner McKee are unrestricted free agents after the 2026 season. That could easily leave Payton as Philly’s QB2 entering the 2027 season. Philly is tied to Hurts for the next two seasons with an out after the 2027 season with a 24.3 million dollar dead cap hit. I loved Payton as a prospect, and with no quarterbacks getting drafted earlier than the third round in this year’s draft, Payton will be my QB3 when it’s all said and done. I’d rather bet on his talent and traits over other flawed quarterback prospects that received middling but better draft capital."
"49",6,"J. Miller",NE,"RB13","-","Miller profiles as an early down back-up option in the NFL. Miller is a downhill one-speed runner. He lacks a high-end second gear or the juice to win the edge in the NFL consistently. Miller has solid vision and patience, but because of his burst limitations, he’s best in a gap scheme run game. Miller’s speed is more of the build-up variety. Miller won’t juke you out of your shoes. He will attempt to throw off defenders with some head fakes in the open field or the occasional spin move or jump cut, but he’s a linear runner. He won’t create a ton of yards for himself. If he’s contacted in the backfield, he doesn’t have that extra layer of juice or wiggle to make many people miss. He’s a liability in pass protection. Miller will lunge at or chip defenders, but he rarely locks into incoming rushers with his hands and holds his ground. Last year, with 49 pass blocking snaps (per PFF), he allowed seven pressures, four hurries, and three sacks. His below-average pass protection skills will limit his passing down usage in the NFL unless he corrects them. The former Alabama back is a checkdown option only in the passing game. He wasn’t tasked with running an in-depth route tree, usually leaking out of the backfield, or running a flat route. His hands are a liability with five drops over the last two seasons (43 targets). Dynasty Outlook: Miller isn’t a flashy back by any means, but he was the last running back selected in the NFL Draft in the seventh round by the Patriots. With his Alabama pedigree and the Patriots’ affinity for gap scheme grinders, I could see him sticking on the roster and beating out Terrell Jennings for the RB3 spot when it’s all said and done. If you have the room, he’s worth a taxi squad add."
